iter	Passed	Remaining
0	1	1018
1	2	932
2	3	898
3	4	875
4	5	845
5	6	768
6	7	765
7	8	777
8	9	784
9	10	775
10	11	768
11	12	788
12	14	798
13	15	792
14	16	789
15	17	788
16	18	788
17	19	786
18	20	782
19	21	781
20	22	776
21	23	771
22	24	770
23	25	766
24	26	762
25	27	765
26	28	773
27	30	774
28	31	771
29	31	767
30	32	757
31	33	754
32	34	753
33	35	751
34	36	748
35	37	745
36	38	743
37	39	739
38	40	739
39	41	740
40	42	742
41	44	745
42	45	749
43	46	749
44	47	748
45	48	746
46	49	743
47	50	739
48	51	737
49	52	735
50	53	735
51	54	733
52	55	728
53	56	722
54	57	725
55	58	725
56	59	729
57	61	728
58	62	728
59	63	731
60	64	730
61	65	730
62	66	728
63	67	726
64	68	724
65	69	723
66	70	722
67	72	723
68	73	722
69	74	726
70	76	726
71	76	722
72	77	721
73	78	720
74	79	716
75	80	714
76	81	713
77	82	713
78	83	711
79	84	710
80	85	709
81	87	709
82	88	709
83	89	711
84	91	714
85	92	716
86	94	718
87	95	721
88	97	724
89	98	725
90	99	721
91	100	718
92	101	717
93	102	717
94	104	723
95	107	730
96	109	738
97	111	743
98	112	742
99	114	743
100	116	746
101	117	747
102	119	751
103	121	755
104	123	759
105	125	765
106	127	768
107	129	772
108	131	773
109	133	777
110	136	784
111	138	788
112	139	786
113	141	788
114	143	792
115	145	794
116	147	799
117	150	808
118	152	809
119	153	807
120	155	808
121	157	809
122	158	809
123	160	811
124	162	811
125	163	810
126	165	813
127	167	814
128	169	816
129	171	818
130	173	821
131	175	820
132	177	822
133	178	819
134	180	820
135	182	822
136	183	819
137	184	819
138	186	820
139	187	817
140	189	817
141	190	814
142	191	813
143	193	813
144	195	815
145	197	815
146	198	814
147	199	812
148	200	808
149	201	806
150	203	808
151	205	807
152	207	808
153	208	808
154	210	809
155	212	809
156	214	809
157	216	811
158	218	811
159	219	810
160	220	808
161	222	805
162	223	803
163	225	804
164	226	803
165	227	800
166	228	799
167	230	797
168	231	795
169	232	793
170	233	791
171	235	789
172	236	788
173	237	786
174	239	787
175	241	787
176	243	788
177	244	787
178	245	784
179	246	782
180	248	779
181	249	777
182	250	776
183	251	775
184	253	773
185	254	772
186	256	773
187	258	772
188	259	771
189	260	768
190	261	766
191	264	768
192	266	767
193	267	766
194	269	766
195	271	767
196	272	764
197	273	763
198	274	761
199	276	760
200	278	761
201	280	762
202	283	762
203	285	764
204	287	764
205	289	763
206	290	762
207	292	761
208	293	759
209	295	758
210	296	757
211	304	773
212	306	773
213	308	773
214	310	773
215	312	773
216	315	776
217	318	776
218	319	775
219	321	774
220	323	774
221	325	775
222	329	777
223	332	780
224	334	781
225	337	781
226	339	781
227	341	780
228	342	779
229	345	781
230	348	782
231	350	781
232	353	785
233	355	784
234	357	783
235	358	779
236	359	777
237	362	779
238	364	779
239	366	778
240	367	775
241	369	775
242	371	775
243	373	774
244	376	776
245	378	775
246	380	774
247	381	771
248	382	769
249	383	767
250	385	765
251	386	763
252	387	761
253	388	759
254	389	757
255	391	754
256	392	752
257	393	750
258	394	748
259	396	746
260	397	743
261	398	742
262	399	739
263	400	737
264	401	734
265	402	732
266	403	729
267	404	727
268	405	725
269	407	723
270	408	721
271	409	719
272	410	717
273	411	714
274	412	712
275	413	710
276	414	707
277	415	705
278	416	703
279	417	701
280	418	699
281	420	697
282	421	694
283	422	692
284	423	690
285	424	688
286	425	686
287	426	683
288	427	681
289	428	679
290	429	677
291	430	674
292	431	672
293	432	670
294	433	668
295	434	665
296	435	663
297	436	662
298	437	660
299	438	658
300	439	655
301	440	653
302	441	651
303	442	648
304	443	646
305	444	644
306	445	642
307	446	640
308	447	638
309	448	636
310	449	634
311	450	632
312	451	630
313	452	627
314	453	625
315	454	623
316	455	621
317	456	619
318	457	617
319	458	615
320	459	614
321	460	611
322	460	608
323	461	607
324	462	605
325	463	603
326	464	601
327	466	600
328	468	598
329	469	597
330	470	596
331	471	594
332	473	593
333	475	592
334	476	590
335	477	588
336	479	587
337	480	585
338	483	585
339	484	584
340	485	582
341	487	581
342	488	579
343	489	577
344	490	575
345	491	573
346	492	571
347	493	569
348	494	567
349	495	566
350	497	565
351	498	563
352	499	561
353	500	560
354	501	558
355	503	556
356	504	555
357	505	553
358	506	552
359	507	550
360	508	548
361	510	546
362	511	545
363	512	543
364	513	541
365	514	539
366	516	538
367	517	536
368	518	535
369	519	533
370	520	531
371	521	529
372	521	527
373	522	525
374	524	524
375	525	522
376	527	521
377	528	519
378	529	518
379	530	516
380	531	514
381	532	512
382	533	511
383	534	509
384	535	507
385	536	505
386	537	504
387	538	502
388	539	500
389	541	499
390	541	497
391	542	495
392	543	493
393	544	492
394	545	490
395	546	488
396	547	487
397	548	485
398	549	483
399	550	481
400	551	480
401	552	478
402	554	477
403	555	475
404	556	474
405	557	472
406	558	471
407	559	469
408	560	467
409	562	466
410	562	464
411	563	462
412	564	460
413	566	459
414	567	458
415	568	456
416	569	454
417	570	453
418	572	452
419	573	450
420	574	449
421	575	447
422	577	446
423	578	444
424	579	443
425	580	441
426	581	440
427	583	438
428	585	437
429	586	436
430	588	435
431	589	434
432	591	432
433	592	431
434	593	429
435	594	428
436	595	426
437	596	425
438	598	423
439	599	422
440	600	420
441	601	419
442	602	417
443	604	416
444	605	415
445	607	414
446	610	413
447	611	412
448	613	411
449	614	409
450	618	409
451	619	408
452	621	407
453	622	405
454	622	403
455	623	402
456	624	400
457	625	399
458	627	397
459	627	395
460	628	394
461	630	392
462	631	391
463	633	390
464	634	388
465	634	386
466	636	385
467	637	384
468	638	382
469	639	381
470	641	379
471	642	378
472	643	376
473	644	375
474	645	373
475	647	372
476	648	371
477	649	369
478	650	367
479	651	366
480	652	364
481	653	363
482	654	361
483	655	360
484	656	358
485	657	357
486	658	355
487	659	354
488	660	352
489	662	351
490	663	349
491	664	348
492	665	346
493	666	345
494	666	343
495	667	341
496	668	340
497	669	338
498	670	337
499	672	336
500	673	334
501	674	333
502	675	331
503	676	330
504	677	328
505	678	327
506	680	325
507	681	324
508	682	322
509	683	321
510	684	320
511	685	318
512	687	317
513	688	315
514	689	314
515	690	313
516	691	311
517	692	310
518	694	309
519	695	307
520	696	306
521	697	304
522	698	303
523	699	301
524	700	300
525	701	298
526	702	297
527	703	295
528	704	294
529	705	292
530	706	291
531	708	290
532	710	289
533	711	287
534	714	287
535	717	286
536	718	285
537	720	283
538	722	282
539	724	281
540	725	280
541	726	278
542	727	277
543	728	275
544	729	274
545	730	272
546	731	271
547	732	270
548	733	268
549	734	267
550	735	265
551	736	264
552	739	263
553	740	262
554	742	260
555	743	259
556	744	258
557	745	256
558	746	255
559	747	253
560	748	252
561	749	250
562	750	249
563	751	247
564	752	246
565	754	245
566	755	243
567	756	242
568	757	241
569	758	239
570	759	238
571	761	236
572	762	235
573	762	233
574	763	232
575	764	231
576	765	229
577	766	228
578	768	226
579	769	225
580	771	224
581	772	222
582	773	221
583	773	219
584	774	218
585	775	216
586	776	215
587	777	214
588	778	212
589	779	211
590	780	209
591	781	208
592	782	207
593	784	206
594	785	204
595	786	203
596	787	201
597	789	200
598	790	199
599	791	197
600	792	196
601	793	194
602	794	193
603	795	192
604	796	190
605	797	189
606	798	188
607	800	186
608	801	185
609	801	184
610	802	182
611	803	181
612	804	179
